Action,"操作"
Add Category,"カテゴリの追加"
Add Comment,"コメントを追加"
Add Post,"記事作成"
Advanced Options,"拡張設定"
Advanced Post Options,"投稿の追加設定"
Approve,"承認"
Are you sure?,"よろしいですか？"
Auto Approve Comments,"コメントを自動で承認する"
Blog,"ブログ"
Blog Comment Manager,"ブログコメント管理"
Blog Manager,"ブログ管理"
Blog Post Manager,"ブログ記事管理"
Blog Post Options,"ブログ投稿設定"
Blog Settings,"ブログ設定"
Blog Title,"ブログのタイトル"
Categories,"カテゴリ"
Category,"カテゴリ"
Category does not exist,"カテゴリが存在しません"
Category Information,"カテゴリの詳細"
Category Manager,"カテゴリ管理"
Change status,"状態の変更"
click here,"ここをクリックして"
Comment,"コメント"
Comment Information,"コメントの詳細"
Comment was approved,"コメントは承認されています"
Comment was successfully deleted,"コメントを削除しました"
Comment was successfully saved,"コメントを保存しました"
Comment was unapproved,"コメントは承認されていません"
Comments,"コメント"
Comments are not enabled.,"コメントの投稿は無効化されています。"
Content,"本文"
Created,"作成日"
"Date Format","日付の形式"
Delete,"削除"
Delete Category,"カテゴリの削除"
Delete Comment,"コメントの削除"
Delete Post,"投稿の削除"
Description,"概要"
Disabled,"無効"
Email Address,"Eメールアドレス"
Edit,"編集"
Edit Category '%s',"カテゴリ '%s' を編集"
Edit Comment By '%s',"'%s' からのコメントを編集"
Edit Post '%s',"記事 '%s' を編集"
eg: YYYY-MM-DD HH:MM:SS Leave blank to use current date,"例: YYYY-MM-DD HH:MM:SS の形式。空の場合、現在日時が使用されます。"
Email,"Eメール"
Enable Blog RSS Feed,"ブログのRSSフィードを有効にする"
"Enable Categories menu","カテゴリメニューを有効にする"
Enable Comments,"コメントを有効にする"
Enable Footer Link,"フッターリンクを有効にする"
Enable Left Menu,"左メニューを有効にする"
"Enable ReCAPTCHA","ReCAPTCHAを有効にする"
Enable Right Menu,"右メニューを有効にする"
Enable Top Link,"トップリンクを有効にする"
Enabled,"有効"
Frequency,"回数"
Go to Home Page,"ホームに戻る"
Google Sitemap,Google Sitemap
Hidden,"隠す"
Home,"ホーム"
ID,ID
Identifier,"識別子"
Keywords,"キーワード"
Leave blank to use current user name,"空の場合、現在のユーザ名が使用されます"
"Logged in Auto Approve Comments","ログインしたユーザからのコメントを自動で承認"
Login Required to Comment,"コメントにはログインが必要"
Manage Categories,"カテゴリ管理"
Manage Comments,"コメント管理"
Manage Posts,"記事管理"
Manage Products,"商品管理"
Meta Data,"メタデータ"
Meta Description,Meta Description
Meta Keywords,Meta Keywords
Name,"名前"
No Posts in this Category.,"このカテゴリに投稿された記事はありません。"
Page Layout,"ページレイアウト"
"Parse CMS tags in post contents","CMSタグを使用する"
Please select categories,"カテゴリを選択してください"
Please select comment(s),"コメントを選択してください"
Please select post(s),"記事を選択してください"
Post Date,"投稿日時"
Post Identifier already exist.,"その識別子は既に使用されています。"
Post Identifier cannot consist only of numbers.,"数字のみの識別子を設定することはできません。"
Post Information,"投稿内容"
Post information,"投稿内容"
Post does not exist,"記事が存在しません"
Post was successfully deleted,"記事を削除しました"
Post was successfully saved,"記事を保存しました"
Posts,"記事一覧"
Posted By,"投稿者"
Poster,"投稿者"
Posts Per Page,"1ページあたりの記事数"
Priority,"優先度"
Recent Posts,"最近の記事"
Return to,Return to
Route to Blog,"ブログURL"
RSS Feed Image,"RSSフィードのロゴ画像"
RSS Posts to Show,"RSSフィードへ表示する記事数"
"Save And Continue Edit","保存して編集を続ける"
Save Category,"カテゴリの保存"
Save Comment,"コメントの保存"
Save Post,"記事の保存"
"Show Bookmarks in Lists","一覧にブックマークボタンを表示"
"Show Bookmarks in Posts","記事にブックマークボタンを表示"
Show Breadcrumbs,"パンくずリストを表示"
Sort Order,"並び順"
Status,"状態"
Store View,"ストアビュー"
Submit Comment,"コメントを投稿"
Summary Character Count,"要約の最大文字数"
"Tags to display","タグの表示件数"
Title,”タイトル”
to log in,"ログインする"
Total of %d comment(s) were successfully approved,"%d 件のコメントを承認しました"
Total of %d comment(s) were successfully unapproved,"%d 件のコメントの承認を解除しました"
Total of %d comments(s) were successfully deleted,"%d 件のコメントを削除しました"
Total of %d record(s) were successfully deleted,"%d 件のレコードを削除しました"
Total of %d record(s) were successfully updated,"%d 件のレコードを更新しました"
Unable to find category to save,"保存するカテゴリが見つかりません"
Unable to find comment to save,"保存するコメントが見つかりません"
Unable to find post to save,"保存する記事が見つかりません"
"Unable to submit your comment. Please, try again later","コメントの投稿に失敗しました。しばらく経ってから再度試してみてください"
Unapprove,"未承認"
Updated,"更新日"
"Use categories id in posts URLs","投稿URLにカテゴリのIDを使用"
"Use short content field","序文フィールドを使用する"
User,"ユーザ"
You must be logged in to comment.,"コメントするにはログインする必要があります。"
You must be logged in to post a comment.,"コメントを投稿するにはログインする必要があります。"
Your comment has been submitted and is awaiting approval.,"コメントを投稿しました。承認されるまでお待ちください。"
Your comment has been submitted.,"コメントを投稿しました。"
